********************************************************************************
*      Signed document issued by Sphere Online Judge  (http://www.spoj.com)      
********************************************************************************

----- BEGIN OF DATA -----
Submissions by [baqir96] in contest [SPOJ].  DoI: 2016-11-22 05:44:30.
/------------------------------------------------------------------------------\
|   ID    |        DATE         |  PROBLEM  |  RESULT   | TIME  |  MEM   | LNG |
| 17169652 | 2016-06-24 14:08:34 |    CANDY3 |        WA |  0.02 |   3416 | C++ |
| 17169583 | 2016-06-24 13:57:20 |    CANDY3 |        WA |  0.02 |   3416 | C++ |
| 17169485 | 2016-06-24 13:41:54 |     JULKA |        AC |  0.01 |   9024 | PYT |
| 17169419 | 2016-06-24 13:31:01 |     JULKA |        WA |  0.01 |   9936 | PYT |
| 17169392 | 2016-06-24 13:25:51 |     JULKA |        WA |  0.02 |   9944 | PYT |
| 17169248 | 2016-06-24 12:59:54 |      AE00 |        AC |  0.00 |   3464 | C++ |
| 17169044 | 2016-06-24 12:22:00 |  GIRLSNBS |        AC |  0.00 |   3416 | C++ |
| 17168953 | 2016-06-24 12:00:18 |  GIRLSNBS |        WA |  0.00 |   3416 | C++ |
| 17168928 | 2016-06-24 11:54:11 |  GIRLSNBS |        WA |  0.00 |   3416 | C++ |
| 17168900 | 2016-06-24 11:49:08 |  GIRLSNBS |        WA |  0.00 |   3416 | C++ |
| 17166265 | 2016-06-23 21:47:51 |   LASTDIG |        AC |  0.00 |   3416 | C++ |
| 17166261 | 2016-06-23 21:47:00 |   LASTDIG |        CE |  0.00 |      0 | C++ |
| 17165969 | 2016-06-23 20:58:30 |   FASHION |        AC |  0.03 |   3420 | C++ |
| 17165113 | 2016-06-23 17:48:56 |     CANDY |        AC |  0.00 |   3416 | C++ |
| 17165092 | 2016-06-23 17:46:36 |     CANDY |        WA |  0.00 |   3416 | C++ |
| 17164468 | 2016-06-23 16:14:36 |  SAMER08F |        AC |  0.00 |   2736 | C++ |
| 17158612 | 2016-06-22 18:19:42 |    NSTEPS |        AC |  0.02 |   3416 | C++ |
| 17158436 | 2016-06-22 17:57:21 |    FCTRL2 |        AC |  0.02 |   9936 | PYT |
| 17157839 | 2016-06-22 16:35:36 |       ONP |        AC |  0.00 |   3420 | C++ |
| 16588169 | 2016-03-24 08:13:03 |    FCTRL2 |        WA |  0.00 |   3416 | C++ |
| 16588160 | 2016-03-24 08:10:45 |    FCTRL2 |        WA |  0.00 |   3416 | C++ |
| 16588151 | 2016-03-24 08:08:02 |     FCTRL |        AC |  0.23 |   3416 | C++ |
| 16588133 | 2016-03-24 07:59:03 |    PRIME1 |        AC |  1.93 |   3416 | C++ |
| 16531654 | 2016-03-17 12:10:00 |   ACPC10A |        AC |  0.00 |   3464 | C++ |
| 15636522 | 2015-11-16 14:08:16 |     FCTRL |        WA |  3.06 | 1093120 | PYT |
| 15636513 | 2015-11-16 14:07:37 |     FCTRL |        WA |  3.13 | 1093120 | PYT |
| 15636433 | 2015-11-16 13:57:37 |    ADDREV |        AC |  0.06 |   3464 | C++ |
| 15636426 | 2015-11-16 13:56:45 |    ADDREV |        CE |  0.00 |      0 | C++ |
| 15636422 | 2015-11-16 13:56:19 |    ADDREV |        CE |  0.00 |      0 | C++ |
| 15636410 | 2015-11-16 13:54:15 |    ADDREV |        CE |  0.00 |      0 | C++ |
| 15636345 | 2015-11-16 13:45:43 |    ADDREV |        WA |  0.00 |   3456 | C++ |
| 14690058 | 2015-07-17 17:12:15 |      TEST |        AC |  0.00 |   3148 | C++ |
\------------------------------------------------------------------------------/

----- SIGNATURE -----
Z1k4Z9uXmdpqh3XYuAhAbTkyUGESs5SAGkEhn1cClAxIk+3qXCLfps/vgE8DOwP0OTiGh83Fv9V+
dkhTeE2NexDC2Zx4M8YLZ89Z5+d2L0cmzsA/Tzl1Pq6RX0zbwTg9qaDpEmE3N40ZfqQd7rDG1idC
QAwGSrkBBPkwc/HaPOc=

----- END OF DATA -----

********************************************************************************
Disclaimer:       Document for internal use only. No liability shall be assumed.
********************************************************************************
